Job_name,Company_name,Place,Date,job_type,experience
Analyst - Service Design,Sidra Medical and Research Center -,"Doha, Qatar",6 days ago,Full Time,Full TimeNot specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · Information Technology (IT) · Computer Science · Business Analysis · Finance · Accounting · Microsoft Office
Analyst - Real Estate Strategy & Consulting,Knight Frank -,"Cairo, Egypt",1 day ago,Full Time,Full TimeNot specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · Information Technology (IT) · Computer Science · Business Analysis · Finance · Accounting · Microsoft Office
Information Technology Project Manager,Confidential -,"Riyadh, Saudi Arabia",5 hours ago,Full Time,Full TimeManager · 4 - 10 Yrs of Exp · IT/Software Development · Project/Program Management · Information Technology (IT) · Computer Science · Data · DNS · Cisco · Project Management · Management · Engineering
Data Labeler,Micro Engineering -,"Heliopolis, Cairo, Egypt",16 days ago,Full Time,Full TimeShift BasedEntry Level · R&D/Science · IT/Software Development · Data Entry · English · data labeling · Administration
Front End Developer (Vue.js),Dafa -,"Haram, Giza, Egypt",6 days ago,Full Time,Full TimeExperienced · 2 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · front-end · Information Technology (IT) · JavaScript · Programming · SEO · Software Development · Web Development
Project Coordinator IT Infrastructure,Dautom -,"Dubai, United Arab Emirates",7 days ago,Full Time,Full TimeNot specified · IT/Software Development · Project/Program Management · Engineering - Telecom/Technology · Information Technology (IT) · Project Management · Computer Science · PMP · Business Administration · IT Project Management · PRINCE2
Data Scientist,eT3 - Tomorrow Information Technology -,"Cairo, Egypt",1 month ago,Full Time,Full TimeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Data Science · Computer Science · Software Engineering · Python · Java · Machine Learning · Data Analytics
Digital Expert,Vodafone Qatar -,"Doha, Qatar",4 hours ago,Full Time,Full TimeExperienced · Marketing/PR/Advertising · Media/Journalism/Publishing · Engineering - Telecom/Technology · Marketing · Digital Marketing · Social Media · E-marketing · Media · SEO · Advertising
Analyst - Innovation & Excellence,Higher Colleges of Technology -,"Dubai, United Arab Emirates",3 days ago,Full Time,Full TimeNot specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · Information Technology (IT) · Computer Science · Business Analysis · Finance · Accounting · Microsoft Office
Reporting Specialist (Saudi National),SNC-Lavalin -,"Riyadh, Saudi Arabia",5 days ago,Full Time,Full TimeNot specified · Accounting/Finance · Administration · Analyst/Research · Reporting · Finance · Microsoft Excel · Accounting · Analysis · Financial Analysis · Commerce
Senior SAP Ariba Consultant,Altivate -,"Cairo, Egypt",6 days ago,Full Time,Full TimeNot specified · Accounting/Finance · IT/Software Development · Engineering - Telecom/Technology · SAP · Information Technology (IT) · Computer Science · ABAP · Software Engineering · ERP · Implementation
Analyst,DAMAC Properties -,"Dubai, United Arab Emirates",7 days ago,Full Time,Full TimeNot specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · Information Technology (IT) · Computer Science · Business Analysis · Finance · Accounting · Microsoft Office
Senior Python Developer,WORLD OF BUSINESS  -,"Sidon, Lebanon",8 days ago,Full Time,Full TimeExperienced · 3 - 4 Yrs of Exp · IT/Software Development · Azure · Computer Vision · pyhton · artficialintelligence · Software Development · Data Structure · Machine Learning · Data Analysis · SQL
Machine Learning Engineering Manager,Yassir -,"Cairo, Egypt",15 days ago,Full Time,Full TimeNot specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Python · Computer Science · Machine Learning · Information Technology (IT) · Software Engineering · C++ · Mathematics
IT SYSTEMS ANALYST III,Yanbu Aramco Sinopec Refining Company (YASREF) -,"Yanbu, Saudi Arabia",15 days ago,Full Time,Full TimeExperienced · 7+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · information technology (it) · computer science · software development · software engineering · computer engineering · engineering · programming
Sr Associate Medical Science Liaison,Amgen Inc. -,"Riyadh, Saudi Arabia",27 days ago,Full Time,Full TimeNot specified · Medical/Healthcare · Sales/Retail · Pharmaceutical · pharmacy · science · medical · sales · healthcare · research · access
Quality Analyst - Saudi National,Tafaseel Group -,"Riyadh, Saudi Arabia",16 days ago,Full Time,Full TimeNot specified · Quality · Analyst/Research · Pharmaceutical · Quality · Quality Control · Quality Assurance · Pharmacy · Analysis · Science · Computer Science
"Manager, Government & External Affairs",ROSHN -,"Riyadh, Saudi Arabia",14 days ago,Full Time,Full TimeNot specified · Accounting/Finance · Administration · IT/Software Development · Finance · Accounting · Information Technology (IT) · Microsoft Office · Administration · Business · Commerce
Database Specialist (Redis DBA),Nathan & Nathan -,"Dubai, United Arab Emirates",17 days ago,Full Time,Full TimeNot specified · Administration · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Database · Information Technology (IT) · Customer Support · SQL · Automotive · Customer Service
NLP Engineer,Sceel.io -,"Maadi, Cairo, Egypt",20 days ago,Full Time,Full TimeExperienced · 4 - 7 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · computer · Computer Science · Data Science · Information Technology (IT) · Keras · Java · Machine Learning
Analyst - Hospitality & Leisure Advisory,Knight Frank -,"Dubai, United Arab Emirates",17 days ago,Full Time,Full TimeNot specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · Information Technology (IT) · Computer Science · Business Analysis · Finance · Accounting · Microsoft Office
Ingénieur.e Systèmes d''Information - SIM-MaaS H/F,Egis Group -,"Riyadh, Saudi Arabia",19 days ago,Full Time,Full TimeNot specified · R&D/Science · IT/Software Development · Engineering - Telecom/Technology · information technology (it) · computer science · software development · software engineering · business · media · social media
Senior Data Engineer,Paymob Solutions -,"Maadi, Cairo, Egypt",2 months ago,Full Time,Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Computer Engineering · Computer Science · Design · Database · Engineering · Information Technology (IT) · Programming · Python · SQL
QUALITY ANALYST,King Faisal Specialist Hospital & Research Centre -,"Riyadh, Saudi Arabia",19 days ago,Full Time,Full TimeNot specified · Quality · Analyst/Research · Pharmaceutical · Quality · Quality Control · Quality Assurance · Pharmacy · Analysis · Science · Computer Science
Associate Process/Specialty Engineer II,Fluor Corporation -,"Riyadh, Saudi Arabia",19 days ago,Full Time,Full TimeNot specified · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · information technology (it) · computer science · engineering · software engineering · technical support · management · design
Learning Specialist II,Mediclinic International -,"Dubai, United Arab Emirates",18 days ago,Full Time,Full TimeNot specified · Human Resources · IT/Software Development · Training/Instructor · Training · E-Learning · Information Technology (IT) · Learning · Business Development · Computer Science · Human Resources (HR)
Reporting Specialist,SNC-Lavalin -,"Riyadh, Saudi Arabia",20 days ago,Full Time,Full TimeNot specified · Accounting/Finance · Administration · Analyst/Research · Reporting · Finance · Microsoft Excel · Accounting · Analysis · Financial Analysis · Commerce
Business Intelligence Specialist,LINK Development -,"Maadi, Cairo, Egypt",22 days ago,Full Time,Full TimeManager · 5 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Database · Database Design · SQL · Data Warehousing · OLAP · SSAS · Data Modeling
Finance Analyst,enoc -,"Dubai, United Arab Emirates",21 days ago,Full Time,Full TimeNot specified · Accounting/Finance · Banking · Analyst/Research · Finance · Accounting · Financial Analysis · Commerce · Microsoft Office · Analyst · Economics
Operational Excellence Analyst / Specialist,Yanbu Aramco Sinopec Refining Company (YASREF) -,"Yanbu, Saudi Arabia",21 days ago,Full Time,Full TimeEntry Level · IT/Software Development · Analyst/Research · Sales/Retail · microsoft office · information technology (it) · customer service · computer science · analysis · quality · management
Data Engineer,Ibn Sina Pharma -,"New Cairo, Cairo, Egypt",2 months ago,Full Time,Full TimeExperienced · 1 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Big Data · AWS · Computer Engineering · Computer Science · Data Science · Design · Engineering
